===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2019-03-13 15:36:20
count workspace : /Users/fabioespinosa/Desktop/runregistry
total files : 208
total code lines : 50778
total comment lines : 6225
total blank lines : 5753

.babelrc, code is 3, comment is 0, blank is 0.
ducks/online/lumisections.js, code is 24, comment is 0, blank is 4.
ducks/online/runs.js, code is 101, comment is 0, blank is 11.
ducks/online/significant_runs.js, code is 100, comment is 0, blank is 11.
ducks/online/ui.js, code is 103, comment is 11, blank is 12.
ducks/rootReducer.js, code is 12, comment is 0, blank is 2.
layout/page.js, code is 56, comment is 6, blank is 6.
next.config.js, code is 11, comment is 2, blank is 0.
package-lock.json, code is 10209, comment is 0, blank is 0.
package.json, code is 52, comment is 0, blank is 0.
pages/_app.js, code is 28, comment is 1, blank is 2.
pages/_document.js, code is 41, comment is 0, blank is 3.
pages/offline.js, code is 71, comment is 3, blank is 4.
pages/online.js, code is 74, comment is 4, blank is 9.
pages/run.js, code is 7, comment is 0, blank is 2.
server.js, code is 42, comment is 5, blank is 9.
services/analytics.js, code is 18, comment is 0, blank is 4.
sslcert/cert.pem, code is 31, comment is 0, blank is 0.
sslcert/key.pem, code is 52, comment is 0, blank is 0.
static/ant-modified.min.css, code is 1, comment is 9, blank is 0.
static/fonts/font_148784_v4ggb6wrjmkotj4i.eot, it is a binary file.
static/fonts/font_148784_v4ggb6wrjmkotj4i.svg, code is 322, comment is 0, blank is 603.
static/fonts/font_148784_v4ggb6wrjmkotj4i.ttf, it is a binary file.
static/fonts/font_148784_v4ggb6wrjmkotj4i.woff, it is a binary file.
static/images/cms_logo.png, it is a binary file.
static/nprogress.css, code is 66, comment is 4, blank is 12.
static/react-table.css, code is 421, comment is 0, blank is 0.
store/configure-store.js, code is 21, comment is 1, blank is 4.
utils/error_handlers.js, code is 24, comment is 1, blank is 2.
===============================================================================
